reconstructed,isv_id,isv_form,match_score,N,is_best,etm_info,cognates
družьba,2367,družba,100.0,2,True,"From Proto-Balto-Slavic *dráugība, from
Proto-Indo-European *dʰrewgʰ-.
Morphologically from *drugъ +
*-ьba. Cognate with Latvian draudzība (“friendship”) (with g > dz via palatalization), Lithuanian draugybė (“friendship”).

","{'Old East Slavic': ['дроужьба'], 'Belarusian': ['дружба'], 'Russian': ['дружба'], 'Ukrainian': ['дружба'], 'Old Church Slavonic': ['дроужьба'], 'Bulgarian': ['дружба'], 'Macedonian': ['дружба'], 'Cyrillic': ['дружба'], 'Latin': ['družba'], 'Slovene': ['drȗžba (tonal orthography)'], 'Old Czech': ['družba'], 'Czech': ['družba'], 'Moravian (Mistřice)': ['družba'], 'Polish': ['drużba'], 'Slovak': ['družba']}"
mъlviti,6810,mȯlviti,100.0,2,True,"From Proto-Indo-European *mluH- (*ml̥wH-?), from the root *mlewH-. Cognate with Sanskrit ब्रवीति (brávīti, “to say”), Avestan 𐬨𐬭𐬀𐬊𐬌𐬙𐬌‎ (mraoiti, “to say”). Per Chernykh, some linguists link the root to Ancient Greek μέλος (mélos, “song, melody”).

","{'Old East Slavic': ['мълвити'], 'Belarusian': ['мовіць'], 'Russian': ['молвить (obsolete or dialectal)'], 'Old Ukrainian': ['молвити', 'мовити', 'мовить'], 'Ukrainian': ['мовити'], 'Old Novgorodian': ['мълвити', 'молвити'], 'Cyrillic': ['мувити (rare', 'literary', 'archaic)'], 'Glagolitic': ['ⰿⰾⱏⰲⰻⱅⰻ'], 'Latin': ['muviti (rare', 'literary', 'archaic)'], 'Bulgarian': ['мълвя'], 'Slovene': ['mółviti (tonal orthography) (obsolete)'], 'Czech': ['mluvit'], 'Old Polish': ['mówić', 'mołwić'], 'Polish': ['mówić'], 'Slovak': [""mluviť (Kálal's dictionary)""], 'Slovincian': ['mʉɵvjĭc'], 'Upper Sorbian': ['mołwić', 'mołwjeć'], 'Lower Sorbian': ['mołwiś']}"
kъlbasa,5060,kȯlbasa,100.0,2,True,"From *kъlbъ +‎ *-as-, possibly from Turkic for ""grilled cutlet,"" literally ""pressed on ashes,"" from Proto-Turkic *kül (“ash”) + *bas (“to press”) (modern Turkish basmak).[1]

","{'Old East Slavic': ['колбаса'], 'Belarusian': ['каўбаса'], 'Russian': ['колбаса→ Armenian'], 'Ukrainian': ['ковбаса', 'ківбаса→ English'], 'Old Novgorodian': ['кълъбаса'], 'Old Cyrillic': ['клъбаса'], 'Glagolitic': ['ⰽⰾⱏⰱⰰⱄⰰ'], 'Bulgarian': ['колбаса', 'колбас'], 'Macedonian': ['колбас'], 'Cyrillic': ['кобаса'], 'Latin': ['kobasa'], 'Slovene': ['klobása (tonal orthography)'], 'Czech': ['klobása'], 'Kashubian': ['kôłbasa'], 'Polish': ['kiełbasa→ Belarusian'], 'Slovak': ['klobása', 'klbása'], 'Lower Sorbian': ['kjałbasa', 'kjałbas'], 'Upper Sorbian': ['kołbasa'], 'Hungarian': ['kolbász']}"
světъ,14751,svět,100.0,2,True,"From Proto-Balto-Slavic *śwaitas, from Proto-Indo-European *ḱweyt-. Cognate with Sanskrit श्वेत (śveta), Proto-Germanic *hwītaz.

","{'Old East Slavic': ['свѣтъOld Ruthenian'], '→ Lithuanian': ['svietas (obsolete)'], 'Cyrillic': ['свет', 'свијет', 'свит'], 'Glagolitic': ['ⱄⰲⱑⱅⱏ'], 'Bulgarian': ['свят'], 'Macedonian': ['свет'], 'Latin': ['svȇt', 'svijȇt', 'svȋt'], 'Slovene': ['svẹt (tonal orthography)'], 'Old Czech': ['svět'], 'Czech': ['svět'], 'Bohemian (Chod dialect)': ['svět', 'sjet'], 'Moravian (Mistřice)': ['svjet'], 'Kashubian': ['swiat', 'sjat'], 'Polabian': ['sjot→ German'], 'Old Polish': ['świat'], 'Polish': ['świat'], 'Slovak': ['svet'], 'Slovincian': ['svjãt'], 'Upper Sorbian': ['swět'], 'Lower Sorbian': ['swět']}"
plavati,10223,plavati,100.0,2,True,"Per Vasmer, formed from *plàviti on the basis of the common iterative suffix *-vati. See *plàviti for etymology.

","{'Old East Slavic': ['плавати'], 'Belarusian': ['плаваць'], 'Russian': ['плавать'], 'Ukrainian': ['плавати'], 'Old Church Slavonic': ['плавати'], 'Bulgarian': ['плавам'], 'Macedonian': ['плива'], 'Cyrillic': ['(пливати)'], 'Latin': ['(plivati)'], 'Slovene': ['plávati (tonal orthography)'], 'Czech': ['plavat'], 'Old Polish': ['pławać'], 'Slovak': ['plávať'], 'Lower Sorbian': ['(płuwaś)']}"
děvica,1864,děvica,100.0,2,True,"From *děva +‎ *-ica.

","{'Old East Slavic': ['дѣвица', 'дивица'], 'Belarusian': ['дзявіца'], 'Russian': ['девица', 'девица (folklore', 'poetic)'], 'Ukrainian': ['дівиця'], 'Cyrillic': ['дѐвица', 'дјѐвица'], 'Glagolitic': ['ⰴⱑⰲⰹⱌⰰ'], 'Bulgarian': ['девица'], 'Macedonian': ['девица'], 'Latin': ['dèvica', 'djèvica', 'divica'], 'Slovene': ['devíca (tonal orthography)'], 'Old Czech': ['děvicě'], 'Czech': ['děvice'], 'Kashubian': ['dzéwica'], 'Polish': ['dziewica'], 'Slovak': ['devica'], 'Slovincian': ['ʒìevjică']}"
kǫtъ,5720,kųt,100.0,2,True,"Per Derksen 2008, cognate with Lithuanian kam̃pas (“corner”), from Proto-Balto-Slavic *kamptas.

","{'Belarusian': ['кут'], 'Russian': ['кут (dialectal)', 'закуток (', '“corner', 'nook”)'], 'Rusyn': ['кут'], 'Ukrainian': ['кут'], 'Cyrillic': ['кут'], 'Glagolitic': ['ⰽⱘⱅⱏ'], 'Bulgarian': ['кът', 'кънт (dialectal)'], 'Macedonian': ['кат'], 'Latin': ['kȗt'], 'Slovene': ['kọt (tonal orthography)'], 'Old Czech': ['kút'], 'Czech': ['kout'], 'Moravian (Mistřice)': ['kút'], 'Polish': ['kąt'], 'Slovak': ['kút'], 'Slovincian': ['kȯųt']}"
lišiti,6049,lišiti,100.0,2,True,"From *lixъ (“superfluous, incorrect”) +‎ *-iti.

","{'Old East Slavic': ['лишити (11th century)'], 'Belarusian': ['лишити (obsolete)'], 'Russian': ['лишить'], 'Ukrainian': ['лишити'], 'Cyrillic': ['лишити'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['лиша'], 'Macedonian': ['лиши'], 'Latin': ['líšiti'], 'Czech': ['lišit'], 'Old Polish': ['liszyć'], 'Polish': ['liszyć (obsolete)'], 'Slovak': ['líšiť'], 'Slovincian': [""lëšec (Sychta's dictionary)""]}"
kopati,5283,kopati,100.0,2,True,"Reflects the iterative Proto-Balto-Slavic *kаpā́ˀtei, from Proto-Indo-European *(s)kep-. Parallel to Proto-Slavic *skopiti (“to castrate”) > Old Church Slavonic скопити (skopiti). Cognate with Latvian kapât (“to chop, hew”), Lithuanian kapóti (“to chop, hew”) and akin to Old Prussian enkopts (“buried”).
Per ESSJa, possibly superseded an earlier *kòp(je)ti (pres. 1p. sg. *kòpľǫ, attested in Slovene, Polish, Czech), cognate with Lithuanian kàpti (“to chop”), Ancient Greek κόπτω (kóptō, “to beat, to hit”).

","{'Old East Slavic': ['копати'], 'Belarusian': ['капаць'], 'Russian': ['копать'], 'Ukrainian': ['копати'], 'Old Cyrillic': ['копати'], 'Glagolitic': ['ⰽⱁⱂⰰⱅⰻ'], 'Bulgarian': ['копая (standard)', 'копам (colloquial)'], 'Macedonian': ['копа'], 'Cyrillic': ['копати'], 'Latin': ['kòpati'], 'Chakavian (Vrgada)': ['kopȁti'], 'Chakavian (Orbanići)': ['kopȁt'], 'Slovene': ['kópati', 'kopáti (tonal orthography)'], 'Old Czech': ['kopati'], 'Czech': ['kopat'], 'Bohemian (Chod dialect)': ['kopát'], 'Kashubian': ['kòpac'], 'Polish': ['kopać'], 'Slovak': ['kopať'], 'Upper Sorbian': ['kopać'], 'Lower Sorbian': ['kopaś']}"
pastyrь,9978,pastyŕ,100.0,2,True,"Etymologically from *pasti (“to graze”) +‎ *-yrь. In later times, a secondary meaning cleric has been attached in some daughter languages, under the influence of Latin pāstor.

","{'Belarusian': ['пастыр'], 'Russian': ['пастырь', 'пастирь'], 'Ukrainian': ['пастир (', '“pastor”)'], 'Old Church Slavonic': ['пастꙑрь'], 'Bulgarian': ['пастир', 'arch. пастир (', '“pastor”)'], 'Cyrillic': ['пастир', 'пастијер'], 'Latin': ['pàstȋr', 'pàstijer'], 'Slovene': ['pastír (tonal orthography)'], 'Old Czech': ['pastýř'], 'Czech': ['pastýř'], 'Polish': ['pastyrz', 'pasterz'], 'Silesian': ['pastyrz'], 'Slovak': ['pastier'], 'Lower Sorbian': ['pastyŕ'], 'Upper Sorbian': ['pastyŕ'], '→ Hungarian': ['pasztor']}"
lopuxъ,6152,lopuh,100.0,2,True,"From *lopъ (“leaf”) +‎ *-uxъ.

","{'Belarusian': ['лопух'], 'Russian': ['лопух'], 'Ukrainian': ['лопух'], 'Bulgarian': ['лопуш', 'лопух'], 'Macedonian': ['лопув'], 'Cyrillic': ['лопӯх'], 'Latin': ['lòpūh'], 'Slovene': ['lopúh (tonal orthography)'], 'Czech': ['lopuch'], 'Polish': ['łopuch'], 'Lower Sorbian': ['ɫорuсh']}"
plotъ,10259,plot,100.0,2,True,"Equivalent to the o-grade of Pre-Slavic *plekti (“to knit, to twine”) +‎ *-tъ, from Proto-Indo-European *pleḱ- (“to fold, plait”).

","{'Old East Slavic': ['плотъ'], 'Belarusian': ['плот'], 'Russian': ['плот (dialectal)'], 'Ukrainian': ['пліт'], 'Rusyn': [""пл'от"", ""пл'іт (plʺit)""], 'Old Cyrillic': ['плотъ'], 'Glagolitic': ['ⱂⰾⱁⱅⱏ'], 'Cyrillic': ['плот'], 'Latin': ['plȏt'], 'Slovene': ['plot'], 'Old Czech': ['plot'], 'Czech': ['plot'], 'Moravian (Mistřice)': ['puot'], 'Polish': ['płot'], 'Slovak': ['plot'], 'Upper Sorbian': ['płót'], 'Lower Sorbian': ['płot']}"
kropiti,5581,kropiti,100.0,2,True,"From Proto-Balto-Slavic *krop-. Cognates with Latvian krẽpât (“to spit thick slime”), Lithuanian skrepliúoti (“to spit slime”).

","{'Belarusian': ['крапаць'], 'Russian': ['кропить'], 'Ukrainian': ['кропити'], 'Old Cyrillic': ['кропити'], 'Glagolitic': ['ⰽⱃⱁⱂⰻⱅⰻ'], 'Cyrillic': ['кропити'], 'Latin': ['kròpiti'], 'Slovene': ['kropīti (tonal orthography)'], 'Old Czech': ['kropiti'], 'Czech': ['kropit'], 'Polish': ['kropić'], 'Slovak': ['kropiť'], 'Slovincian': ['krʉɵpjĭc'], 'Lower Sorbian': ['kšopiś'], 'Upper Sorbian': ['krjepić']}"
ne,7624,ne,100.0,2,True,"From Proto-Balto-Slavic *ne, from Proto-Indo-European *ne.

","{'Old East Slavic': ['не'], 'Belarusian': ['не', 'ня (unstressed)'], 'Russian': ['не'], 'Rusyn': ['не', 'нї'], 'Ukrainian': ['не'], 'Old Cyrillic': ['не'], 'Glagolitic': ['ⱀⰵ'], 'Bulgarian': ['не'], 'Macedonian': ['не'], 'Cyrillic': ['не'], 'Latin': ['ne'], 'Slovene': ['nȅ', 'ne (tonal orthography)'], 'Old Czech': ['ne'], 'Czech': ['ne'], 'Polish': ['nie'], 'Slovak': ['nie'], 'Lower Sorbian': ['ně', 'nje-'], 'Upper Sorbian': ['ně', 'nje-']}"
kleveta,4957,kleveta,100.0,2,True,"Of uncertain provenance.
Vasmer connects it with *klьvati (“to peck, pick (of a bird)”). However, Trubachev proposes a better comparison with dialectal Czech kleviti(se) (“to gossip”) and Arkhangelsk dialectal Russian клевить (klevitʹ, “to tease, pester”).

","{'Old East Slavic': ['клевета'], 'Ukrainian': ['клевета'], 'Old Cyrillic': ['клевета'], 'Glagolitic': ['ⰽⰾⰵⰲⰵⱅⰰ'], '→ Russian': ['клевета'], 'Bulgarian': ['клевета'], 'Macedonian': ['клевета'], 'Cyrillic': ['клѐвета'], 'Latin': ['klèveta'], 'Old Czech': ['kleveta'], 'Czech': ['kleveta'], 'Slovak': ['klebeta']}"
kъlъ,5057,kȯl,100.0,2,True,"zero-grade derivative of *kolti.

","{'Russian': ['кол (dialectal)'], 'Ukrainian': ['ікло'], 'Cyrillic': ['кал'], 'Latin': ['kȃl'], 'Slovene': ['kel'], 'Old Czech': ['kel'], 'Czech': ['kel'], 'Kashubian': ['kło'], 'Polish': ['kieł'], '→ Kashubian': ['czeł (proscribed)'], 'Slovak': ['kel']}"
dьrnъ,2352,drn,100.0,2,True,"Fossilized n-participle of *dьrati (“to tear”) +‎ *-nъ, from Proto-Indo-European *der- (“to tear”). Cognate with Proto-Germanic *turnaz (“bitter; anger, wrath”) and akin to Sanskrit दीर्ण (dīrṇa, “scattered”), Sanskrit दृणाति (dṛṇāti, “to tear, to burst”).

","{'Old East Slavic': ['дернъ'], 'Russian': ['дёрн', 'дерн'], 'Ukrainian': ['дерен'], 'Old Church Slavonic': ['дрьнъ'], 'Bulgarian': ['дрън', 'дърн'], 'Macedonian': ['дрн'], 'Cyrillic': ['дрн (“sea rock”) (archaic)'], 'Latin': ['drn (“sea rock”) (archaic)'], 'Slovene': ['drn', 'arch. dȑn'], 'Czech': ['drn'], 'Polish': ['darń (from i-stem)'], 'Upper Sorbian': ['dorn'], 'Lower Sorbian': ['dern m', 'derno n']}"
krajina,5434,krajina,100.0,2,True,"*krajь (“end, edge”) +‎ *-ina

","{'Belarusian': ['краіна'], 'Russian': ['краина'], 'Rusyn': ['крайна', 'країна'], 'Ukrainian': ['країна'], 'Macedonian': ['краина'], 'Cyrillic': ['крајина'], 'Latin': ['krȁjina'], '→ Albanian': ['krahinë'], 'Slovene': ['krájina', 'krȃjina'], 'Old Czech': ['krajina'], 'Czech': ['krajina'], 'Polish': ['kraina'], 'Slovak': ['krajina'], 'Slovincian': ['kraiina', 'krajina'], 'Lower Sorbian': ['krajina'], 'Upper Sorbian': ['krajina']}"
tratiti,15339,tratiti,100.0,2,True,"Causative from *trata +‎ *-iti, likely akin to Lithuanian trótinti (“to tease, to agitate”), Samogitian trúotas (“grindstone”), Latvian trũots (“grindstone”). Outside of Balto-Slavic, perhaps cognate with Gothic 𐌸𐍂𐍉𐌸𐌾𐌰𐌽 (þrōþjan, “to exercise”) (Proto-Germanic *þrōþijaną).
Commonly compared with *terti (“to rub”) from Proto-Indo-European *terh₁- (“to rub, to twist”). Phonetically more compatible with Proto-Indo-European *treh₃- (“to harm, to gnaw”) (whence Ancient Greek τῐτρώσκω (titrṓskō, “to hurt”)).

","{'Belarusian': ['траціць'], 'Russian': ['тратить'], 'Ukrainian': ['тратити'], 'Old Cyrillic': ['тратити'], 'Glagolitic': ['ⱅⱃⰰⱅⰻⱅⰻ'], 'Bulgarian': ['тратя (obsolete)'], 'Cyrillic': ['тратити'], 'Latin': ['trȁtiti'], 'Slovene': ['trátiti'], 'Old Czech': ['tratiti'], 'Czech': ['tratit'], 'Bohemian (Chod dialect)': ['tratit'], 'Moravian (Mistřice)': ['traťit'], 'Old Polish': ['tracić'], 'Polish': ['tracić'], 'Slovak': ['tratiť']}"
voditi,16567,voditi,100.0,2,True,"From Proto-Balto-Slavic *wádīˀtei.

","{'Old East Slavic': ['водити'], 'Old Ruthenian': ['водити'], 'Belarusian': ['вадзіць'], 'Ukrainian': ['водити'], 'Russian': ['водить'], '→ Kildin Sami': ['водтэ'], 'Old Cyrillic': ['водити'], 'Glagolitic': ['ⰲⱁⰴⰻⱅⰻ'], 'Bulgarian': ['водя'], 'Macedonian': ['води'], 'Cyrillic': ['водити'], 'Latin': ['vòditi'], 'Slovene': ['vodīti (tonal orthography)'], 'Old Czech': ['voditi'], 'Czech': ['vodit'], 'Bohemian (Chod dialect)': ['vláha'], 'Old Polish': ['wodzić'], 'Polish': ['wodzić'], 'Slovak': ['vodiť'], 'Upper Sorbian': ['wodźić'], 'Lower Sorbian': ['wóźiś']}"
drъva,2375,drva,100.0,2,True,"Plural of *drъvo sg (“tree”).

","{'Old East Slavic': ['дръва', 'дрова', 'дрꙑва'], 'Old Belarusian': ['дрова', 'дрыва', 'дрва'], 'Belarusian': ['дровы', 'дрова'], 'Middle Russian': ['дръва', 'дрова'], 'Russian': ['дрова'], 'Old Ukrainian': ['дрова', 'дрива', 'дрыва', 'дърва'], 'Ukrainian': ['дрова'], 'Old Church Slavonic': ['дръва'], 'Russian Church Slavonic': ['дръва', 'дрова'], 'Bulgarian': ['дърва'], 'Macedonian': ['дрва'], 'Cyrillic': ['дрва', 'дреа f (“log”)'], 'Latin': ['drva', 'dȑea f (“log”)'], 'Slovene': ['dŕva'], 'Czech': ['drva (dialectal)'], 'Kashubian': ['drwa'], 'Polabian': ['dråvă'], 'Polish': ['drwa'], 'Slovak': ['drvá (dialectal)']}"
kavъka,4859,kavka,100.0,2,True,"Onomatopoeic.

","{'Belarusian': ['каўка'], 'Rusyn': ['кавка'], 'Ukrainian': ['кавка (dialectal)'], 'Bulgarian': ['кавка (dialectal)'], 'Cyrillic': ['кавка'], 'Slovene': ['kȃvka (tonal orthography)'], 'Czech': ['kavka'], 'Kashubian': ['kôwka'], 'Polish': ['kawka'], 'Slovak': ['kavka'], 'Lower Sorbian': ['kawka'], 'Upper Sorbian': ['kawka']}"
laska,5809,laska,100.0,2,True,"Deverbal of *laskati.

","{'Belarusian': ['ласка'], 'Russian': ['ласка'], 'Ukrainian': ['ласка'], 'Bulgarian': ['ласка'], 'Old Czech': ['láska'], 'Czech': ['láska'], 'Moravian (Mistřice)': ['uáska'], 'Polish': ['łaska'], 'Slovak': ['láskа']}"
věkъ,16193,věk,100.0,2,True,"From Proto-Indo-European *weyk- (“to overcome”). Compare Lithuanian viẽkas, veikiù, veĩkti, véikus, veiklus, vỹkis, vikrùs, Latvian vèicu, vèikt, veikls, Proto-Germanic *wīhaz, Latin vincō (“win, conquer”).

","{'Old East Slavic': ['вѣкъ'], 'Old Ruthenian': ['вѣкъ'], 'Belarusian': ['век'], 'Ukrainian': ['вік'], 'Russian': ['век'], 'Old Cyrillic': ['вѣкъ'], 'Glagolitic': ['ⰲⱑⰽⱏ'], 'Bulgarian': ['век'], 'Macedonian': ['век'], 'Serbo-Croatian': ['век'], 'Slovene': ['vék'], 'Old Czech': ['věk'], 'Czech': ['věk'], 'Bohemian (Chod dialect)': ['věk'], 'Old Polish': ['wiek'], 'Polish': ['wiek'], 'Slovak': ['vek'], 'Lower Sorbian': ['wěk'], 'Upper Sorbian': ['wěk']}"
činъ,1492,čin,100.0,2,True,"From Proto-Indo-European *kʷey-no-, from *kʷey-.

","{'Old East Slavic': ['чинъ'], 'Belarusian': ['чын'], 'Russian': ['чин'], 'Slovene': ['čin'], 'Ukrainian': ['чин'], 'Old Cyrillic': ['чинъ'], 'Glagolitic': ['ⱍⰻⱀⱏ'], 'Bulgarian': ['чин'], 'Macedonian': ['чин'], 'Cyrillic': ['чин'], 'Latin': ['čȋn'], 'Old Czech': ['čin'], 'Czech': ['čin'], 'Polish': ['czyn'], 'Slovak': ['čin']}"
diviti,1950,diviti,100.0,2,True,"Derived from Proto-Indo-European *dyew- (“to be bright”). Cognates include Sanskrit दीव्यति (dīvyati). For meaning shift cf. *ględati (“to watch”) from Proto-Indo-European *gʰlend- (“to shine”).

","{'Russian': ['дивиться'], 'Ukrainian': ['дивитися'], 'Old Cyrillic': ['дивити'], 'Glagolitic': ['ⰴⰻⰲⰻⱅⰻ'], 'Bulgarian': ['дивя се'], 'Cyrillic': ['дѝвити'], 'Latin': ['díviti'], 'Czech': ['divit'], 'Polish': ['dziwić'], 'Slovak': ['diviť sa']}"
krakati,5442,krakati,100.0,2,True,"From imitative Proto-Indo-European *ker-. Baltic cognates include Latvian krãkât, Lithuanian krokoti. Further cognates with Latin crocire.

","{'Old East Slavic': ['кракати'], 'Cyrillic': ['кракати'], 'Latin': ['krákati'], 'Slovene': ['krakati'], 'Czech': ['krákat'], 'Polish': ['krakać'], 'Slovak': ['krákať']}"
gladiti,2986,gladiti,100.0,2,True,"(This etymology is missing or incomplete. Please add to it, or discuss it at the Etymology scriptorium.)

","{'Old East Slavic': ['гладити'], 'Belarusian': ['гладзіць'], 'Russian': ['гладить'], 'Ukrainian': ['гладити'], 'Old Cyrillic': ['гладити'], 'Bulgarian': ['гладя'], 'Cyrillic': ['гладити'], 'Latin': ['glȁditi'], 'Slovene': ['gláditi (tonal orthography) (to rub)'], 'Czech': ['hladit'], 'Polish': ['gładzić'], 'Slovak': ['hladiť'], 'Lower Sorbian': ['głaźiś'], 'Upper Sorbian': ['hładźić']}"
orzuměti,12953,råzuměti,100.0,2,True,"From *orzumъ (“reason, intellect”). Compare also *uměti.

","{'Belarusian': ['разумець'], 'Russian': ['разуметь (dated)'], 'Ukrainian': ['розуміти'], 'Bulgarian': ['разумея'], 'Old Church Slavonic': ['разоумѣти'], 'Cyrillic': ['разумети', 'разумјети'], 'Latin': ['razùmeti', 'razùmjeti'], 'Slovene': ['razumẹti (tonal orthography)'], 'Czech': ['rozumět'], 'Polish': ['rozumieć'], 'Slovak': ['rozumieť']}"
smordъ,13977,smråd,100.0,2,True,"From Proto-Balto-Slavic *smarˀdas, from Proto-Indo-European *(s)merd-.
Cognate with Latvian smaȓds, Lithuanian smardas, Latin merda (“dung, excrement, shit”).

","{'Old East Slavic': ['смородъ'], 'Belarusian': ['сморад', 'смурод'], 'Russian': ['смород (obsolete)'], 'Ukrainian': ['сморід'], 'Old Cyrillic': ['смрадъ'], 'Glagolitic': ['ⱄⰿⱃⰰⰴⱏ'], '→ Russian': ['смрад'], 'Bulgarian': ['смрад'], 'Macedonian': ['смрдеа', 'смрад'], 'Cyrillic': ['смрад'], 'Latin': ['smrȃd'], 'Slovene': ['smrȃd (tonal orthography)'], 'Old Czech': ['smrad'], 'Czech': ['smrad'], 'Moravian (Mistřice)': ['smrat'], 'Kashubian': ['smard'], 'Old Polish': ['smród'], 'Polish': ['smród'], 'Slovak': ['smrad'], 'Upper Sorbian': ['smród'], 'Lower Sorbian': ['smrod']}"
kolti,4927,klåti,100.0,2,True,"From Proto-Balto-Slavic *kálˀtei, from Proto-Indo-European *kolh₂-, from the root *kelh₂-. 
Cognate with Lithuanian kálti (“to strike (with a hammer or axe), to forge”) (1sg. kalù), Latvian kal̃t (“to beat, to forge”) (1sg. kaļu), Lithuanian kùlti (“to hit”), Latvian kul̂t (“to hit”), Old Prussian preicalis (“anvil”), kalopeilis (“hoe”), Latin percellō (“to overturn, to strike”) (infinitive percellere, perfect perculī), Old Irish cellach (“war”), Ancient Greek κελεΐς (keleḯs, “axe”) (Hesychius), per Vasmer probably also Lithuanian skélti (“to split”).

","{'Old East Slavic': ['колоти (10th century)'], 'Belarusian': ['калоць'], 'Russian': ['колоть'], 'Ukrainian': ['колоти'], 'Cyrillic': ['клати'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['коля'], 'Macedonian': ['коле'], 'Latin': ['klȁti'], 'Chakavian (Vrgada?)': ['klȁti'], 'Chakavian (Orbanići)': ['klȁt'], 'Slovene': ['kláti (tonal orthography)'], 'Czech': ['klát'], 'Old Polish': ['kłuć', 'kłóć'], 'Polish': ['kłuć', 'kłóć'], 'Slovak': ['klať'], 'Slovincian': ['klʉɵc'], 'Upper Sorbian': ['kłóć'], 'Lower Sorbian': ['kłojś']}"
kolti,4928,klåti,100.0,2,True,"From Proto-Balto-Slavic *kálˀtei, from Proto-Indo-European *kolh₂-, from the root *kelh₂-. 
Cognate with Lithuanian kálti (“to strike (with a hammer or axe), to forge”) (1sg. kalù), Latvian kal̃t (“to beat, to forge”) (1sg. kaļu), Lithuanian kùlti (“to hit”), Latvian kul̂t (“to hit”), Old Prussian preicalis (“anvil”), kalopeilis (“hoe”), Latin percellō (“to overturn, to strike”) (infinitive percellere, perfect perculī), Old Irish cellach (“war”), Ancient Greek κελεΐς (keleḯs, “axe”) (Hesychius), per Vasmer probably also Lithuanian skélti (“to split”).

","{'Old East Slavic': ['колоти (10th century)'], 'Belarusian': ['калоць'], 'Russian': ['колоть'], 'Ukrainian': ['колоти'], 'Cyrillic': ['клати'], 'Glagolitic': ['[Term?]'], 'Bulgarian': ['коля'], 'Macedonian': ['коле'], 'Latin': ['klȁti'], 'Chakavian (Vrgada?)': ['klȁti'], 'Chakavian (Orbanići)': ['klȁt'], 'Slovene': ['kláti (tonal orthography)'], 'Czech': ['klát'], 'Old Polish': ['kłuć', 'kłóć'], 'Polish': ['kłuć', 'kłóć'], 'Slovak': ['klať'], 'Slovincian': ['klʉɵc'], 'Upper Sorbian': ['kłóć'], 'Lower Sorbian': ['kłojś']}"
sъmetana,13963,smetana,100.0,2,True,"Related to *metati.

","{'Belarusian': ['смятана'], 'Russian': ['сметана'], '→ Armenian': ['սմետան'], '→ English': ['smitane'], '→ Finnish': ['smetana'], '→ French': ['smitane'], 'Rusyn': ['сметана'], 'Ukrainian': ['сметана'], 'Bulgarian': ['сметана'], 'Slovene': ['smẹtana (tonal orthography)'], 'Czech': ['smetana'], '→ German': ['Schmetten'], 'Kashubian': ['smiotana'], 'Polabian': ['såmătonă'], 'Old Polish': ['śmiatana', 'śmiotana'], 'Polish': ['śmietana'], 'Silesian': ['śmietōna'], 'Slovak': ['smotana'], 'Upper Sorbian': ['smjetana'], 'Lower Sorbian': ['sḿetana']}"
metati,6563,metati,100.0,2,True,"From the same root as *mestì (“to throw, to sweep”).

","{'Old East Slavic': ['метати'], 'Belarusian': ['мятацца'], 'Russian': ['метать'], 'Ukrainian': ['метати'], 'Old Novgorodian': ['метати'], 'Cyrillic': ['мѐтати'], 'Glagolitic': ['[Term?]'], 'Latin': ['mètati'], 'Slovene': ['metáti (tonal orthography)'], 'Old Czech': ['metati'], 'Czech': ['metat'], 'Polabian': ['micĕ'], 'Old Polish': ['miotać'], 'Polish': ['miotać', 'mietać (archaic)'], 'Slovak': ['metať'], 'Upper Sorbian': ['mjetać (obsolete)'], 'Lower Sorbian': ['mjataś']}"
podušьka,10491,poduška,100.0,2,True,"According to one theory, ultimately derivable from Proto-Slavic *duxъ (“breath, spirit”), through the sense development ""breath"" → ""inflated"" → ""pillow"".
Also compare Proto-Slavic *duxъna (“feather-bedspread”).

","{'Old East Slavic': ['подушька'], 'Belarusian': ['падушка'], 'Russian': ['подушка'], 'Ukrainian': ['подушка', 'подуха'], 'Serbo-Croatian': ['(archaic)'], 'Cyrillic': ['подушка'], 'Latin': ['poduška'], 'Old Czech': ['роduсhа'], 'Czech': ['poduška'], 'Polish': ['poduszka'], 'Slovak': ['poduška']}"
